"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value","viability_res"
"C6",0.444,224,0.252,400,"EXP_3",56.7567567567568,32.654129740229,0
"C6",0.444,234,0.297,1000,"EXP_3",66.8918918918919,40.4606103967734,23.4374999999999
"C7",0.38,183,0.38,0,"EXP_3",100,100,77.0171807830026
"C7",0.38,193,0.47,4,"EXP_3",109.659111925796,109.659111925796,100
"C7",0.38,203,0.47,25.6,"EXP_3",100.395249714826,100.395249714826,77.9576350205351
"C7",0.38,213,0.262,160,"EXP_3",68.9473684210526,63.5224735816521,3.13077970662611
"C7",0.38,223,0.257,400,"EXP_3",67.6315789473684,43.1907428413261,0
"C7",0.38,233,0.293,1000,"EXP_3",77.1052631578947,55.852634209666,22.541613887708
"C44",0.354,185,0.354,0,"EXP_3",100,100,87.5964398602342
"C44",0.354,195,0.42,4,"EXP_3",103.639971902657,103.639971902657,100
"C44",0.354,205,0.347,25.6,"EXP_3",98.0225988700565,86.2375950695492,80.8582521786777
"C44",0.354,215,0.269,160,"EXP_3",75.9887005649718,55.109878756691,5.77558944133413
"C44",0.354,225,0.263,400,"EXP_3",74.2937853107345,36.2365142696512,0
"C44",0.354,235,0.307,1000,"EXP_3",86.7231638418079,42.5182305529804,42.3543225697835
"C58",0.375,186,0.375,0,"EXP_3",100,100,95.3060200359218
"C58",0.375,196,0.429,4,"EXP_3",100.985033256516,100.985033256516,100
"C58",0.375,216,0.34,160,"EXP_3",90.6666666666667,65.9231505977377,50.8298773524918
"C58",0.375,226,0.3,400,"EXP_3",80,44.0219223928168,0
"C58",0.375,236,0.339,1000,"EXP_3",90.4,48.7156212285475,49.5591304186794
"C67",0.306,187,0.306,0,"EXP_3",100,100,80.431062660495
"C67",0.306,197,0.428,4,"EXP_3",108.390999610193,108.390999610193,94.7573528536084
"C67",0.306,207,0.434,25.6,"EXP_3",111.461651507423,111.461651507423,100
"C67",0.306,217,0.316,160,"EXP_3",67.902088609908,67.902088609908,25.6290111136565
"C67",0.306,227,0.267,400,"EXP_3",87.2549019607843,50.9993393919095,58.6708455788873
"C67",0.306,237,0.323,1000,"EXP_3",52.8910132117775,52.8910132117775,0
"C73",0.471,188,0.471,0,"EXP_3",100,100,82.413683246924
"C73",0.471,198,0.457,4,"EXP_3",97.0276008492569,97.1033929073668,74.1723149222316
"C73",0.471,208,0.631,25.6,"EXP_3",106.342824507057,106.342824507057,100
"C73",0.471,218,0.432,160,"EXP_3",91.7197452229299,65.624145289373,59.4555857709951
"C73",0.471,228,0.333,400,"EXP_3",70.7006369426752,43.6430796115441,1.17733833209903
"C73",0.471,238,0.331,1000,"EXP_3",70.276008492569,45.6317834061689,0
"C85",0.366,189,0.366,0,"EXP_3",100,100,76.0437229929932
"C85",0.366,199,0.567,4,"EXP_3",113.341558591356,113.341558591356,100
